Sample Number	Time	Color	Shape
1	6PM	#31a354	21
2	10PM	#045a8d	21
3	2AM	#810f7c	21
4	6AM	#d7b5d8	24
5	10AM	#fed98e	24
6	2PM	#d73027	24
7	6PM	#31a354	21
8	10PM	#045a8d	21
9	2AM	#810f7c	21
10	6AM	#d7b5d8	24
11	10AM	#fed98e	24
12	2PM	#d73027	24
13	6PM	#31a354	21
14	10PM	#045a8d	21
15	2AM	#810f7c	21
16	6AM	#d7b5d8	24
17	10AM	#fed98e	24
18	2PM	#d73027	24
19	6PM	#31a354	21
